question,possible answers,Right answer,topic
What is the difference between a virus and a bacterium?,"A) Viruses can only reproduce inside a host cell while bacteria can reproduce outside a cell., B) Bacteria can only reproduce inside a host cell while viruses can reproduce outside a cell., C) Both viruses and bacteria can reproduce inside and outside a host cell., D) A virus is a multicellular organism while a bacterium is a single-celled organism.",A) Viruses can only reproduce inside a host cell while bacteria can reproduce outside a cell.,medicine
What is the purpose of an inhaler?,"A. To prevent heart attacks, B. To reduce inflammation in the lungs, C. To cure allergies, D. To remove excess water from the body",B,medicine
Which of the following is not a symptom of diabetes?,"A) Frequent urination, B) Increased thirst, C) Unexplained weight loss, D) Feeling full and bloated",D) Feeling full and bloated,medicine
What is the difference between a virus and a bacteria?,"A) Bacteria are much smaller than viruses., B) Viruses are living organisms while bacteria are not., C) Bacteria can be treated with antibiotics while viruses cannot., D) Both viruses and bacteria can cause disease.",Correct answer: D) Both viruses and bacteria can cause disease.,medicine
Which medication can be used to relieve pain?,"a) Ibuprofen, b) Antihistamine, c) Blood thinner, d) Antibiotic",a) Ibuprofen,medicine
"What is the term used for a medical condition characterized by persistent sadness, loss of interest in activities, and decreased energy?","A. Anxiety disorder, B. Bipolar disorder, C. Insomnia, D. Depression",D. Depression,medicine
What is the most common type of medication used to relieve pain?,"A) Antidepressants, B) Antihistamines, C) Analgesics, D) Antibiotics",C) Analgesics,medicine
What medication is commonly used to treat high blood pressure?,"A) Lipitor, B) Xanax, C) Lisinopril, D) Ibuprofen",C) Lisinopril,medicine
What is the primary purpose of administering a vaccine?,"A. To cure an existing illness, B. To prevent a future illness, C. To treat a chronic condition, D. To alleviate pain and discomfort",B,medicine
What is the active ingredient in aspirin commonly used for pain and fever relief?,"A) Ibuprofen, B) Acetaminophen, C) Salicylic acid, D) Codeine",C) Salicylic acid,medicine
What medical term refers to the condition of having high blood pressure?,"A) Anemia, B) Hypertension, C) Diabetes, D) Osteoporosis",B) Hypertension,medicine
What is the primary purpose of insulin in the human body?,"A) To help regulate blood sugar levels., B) To provide energy to the muscles., C) To improve brain function., D) To aid in digestion.",A) To help regulate blood sugar levels.,medicine
What is the common name for the medical condition conjunctivitis?,"A. Strep throat, B. Pink eye, C. Meningitis, D. Asthma",B,medicine
Which of the following is NOT a type of over-the-counter pain reliever?,"A) Aspirin, B) Acetaminophen, C) Ibuprofen, D) Morphine",D) Morphine,medicine
"What is the meaning of the acronym ""MRI"" in medical terms?","a) Medical Radiographic Imaging, b) Magnetic Resonance Imaging, c) Microscopic Retina Inspection, d) Miniature Radiopharmaceutical Imaging",b) Magnetic Resonance Imaging,medicine
What is the most common over-the-counter medication in the United States?,"A. Tylenol, B. Advil, C. Aspirin, D. Aleve",A. Tylenol,medicine
What is the active ingredient in aspirin?,"A) Ibuprofen, B) Paracetamol, C) Acetaminophen, D) Salicylic acid",D) Salicylic acid,medicine
What is the most commonly prescribed medication for high blood pressure?,"A) Aspirin, B) Statins, C) Beta-blockers, D) Acetaminophen",C) Beta-blockers,medicine
What is the most widely prescribed medication in the world?,"A) Amoxicillin, B) Lipitor, C) Aspirin, D) Metformin",C) Aspirin,medicine
What is the common brand name of the antihistamine drug loratadine?,"A) Allegra, B) Zyrtec, C) Claritin, D) Benadryl",C) Claritin,medicine
What is the purpose of a bronchodilator in the treatment of asthma?,"a. Reduce inflammation in the airways, b. Increase mucus production, c. Relax and open up the airways, d. Stop coughing",c. Relax and open up the airways,medicine
1. What is the function of aspirin?,"A. To treat headache and fever, B. To treat high blood pressure, C. To treat diabetes , D. To treat bacterial infections, Answer: A, 2. What is the use of antihistamines?, A. To relieve allergy symptoms , B. To treat migraine , C. To treat bacterial infections, D. To treat fungal infections, Answer: A, 3. What is the main purpose of antibiotics?, A. To kill or inhibit the growth of bacteria , B. To treat inflammation, C. To regulate blood sugar, D. To reduce cholesterol , Answer: A, 4. What is the role of vaccines?, A. To prevent infectious diseases, B. To cure severe pain, C. To reduce heart diseases, D. To treat viral infections , Answer: A, 5. What is chemotherapy used for?, A. To treat cancer , B. To cure indigestion, C. To treat joint pain, D. To reduce stress",A,medicine
What is the most widely used pain reliever medication?,"A) Aspirin, B) Paracetamol, C) Ibuprofen, D) Naproxen",B,medicine
What is the name of the disease-causing organism?,"a) Virus, b) Bacteria, c) Fungi, d) All of the above",d) All of the above,medicine
"Which medical procedure is used to examine the colon for abnormalities, such as polyps or cancer?","A) Endoscopy, B) Colonoscopy, C) MRI, D) X-ray",B) Colonoscopy,medicine
What is the primary purpose of vaccines?,"A) To cure diseases, B) To prevent diseases, C) To treat symptoms, D) To reduce inflammation",(B) To prevent diseases,medicine
What is the most effective medication for treating high blood pressure? ,"A) Aspirin , B) Ibuprofen , C) Lisinopril , D) Acetaminophen ",C) Lisinopril,medicine
What is the term for a medication that has no active ingredients?,"a) Placebo , b) Antidepressant , c) Antibiotic , d) Analgesic ",a) Placebo,medicine
What is the most common over-the-counter (OTC) medication for pain relief?,"A) Aspirin     , B) Ibuprofen   , C) Acetaminophen , D) Naproxen   ",C) Acetaminophen,medicine
Which over-the-counter medication is commonly used to reduce fever and relieve pain?,"a) Claritin, b) Tylenol, c) Sudafed, d) Benadryl",b) Tylenol,medicine
What is the active ingredient in aspirin?,"A. Acetaminophen, B. Ibuprofen, C. Paracetamol, D. Salicylic acid",D. Salicylic acid,medicine
What is the most common side effect of prescription painkillers?,"a) Nausea and vomiting, b) Dizziness and drowsiness, c) Loss of appetite, d) Constipation ",d) Constipation,medicine
What is the most common cause of food poisoning?,"a) Viruses, b) Bacteria, c) Fungi, d) Parasites",b) Bacteria,medicine
What type of medicine is typically used to relieve pain?,"A) Antibiotics, B) Antidepressants, C) Analgesics, D) Antihypertensives",C) Analgesics,medicine
What is the medical term for high blood pressure?,"A. Hypertension, B. Hypotension, C. Hypoglycemia, D. Hyperglycemia",The correct answer is A. Hypertension.,medicine
What is the most commonly used pain reliever medication?,"A. Acetaminophen , B. Aspirin , C. Ibuprofen , D. Naproxen ",A. Acetaminophen. It is the most commonly used pain reliever medication and is often used to reduce fever as well.,medicine
What is the generic name of Tylenol?,"A) Ibuprofen, B) Acetaminophen, C) Aspirin, D) Naproxen",B (Acetaminophen),medicine
What is the most commonly prescribed medication for high blood pressure?,"A) Metformin , B) Lisinopril , C) Ibuprofen , D) Naproxen ",B) Lisinopril,medicine
What is the active ingredient in aspirin? ,"A) Acetaminophen , B) Ibuprofen , C) Paracetamol , D) Salicylic acid ",D,medicine
Which of the following is NOT a type of medication?,"a) Antibiotics, b) Anti-inflammatory , c) Antifungal , d) Antiseptic , e) Allergy relief",d) Antiseptic,medicine
What is the term used for the ability of a medication to produce a specific effect in a patient?,"a) efficacy, b) potency, c) toxicity, d) bioavailability",A) Efficacy,medicine
What is the primary function of the pancreas?,"a) Digestion of food, b) Control of blood sugar levels, c) Secretion of hormones, d) Removal of waste products",b) Control of blood sugar levels,medicine
Which organ in the human body produces insulin?,"A) Pancreas, B) Liver, C) Kidneys, D) Lungs",A) Pancreas,medicine
Which of the following is a common over-the-counter medication used to reduce fever?,"A) Amoxicillin, B) Aspirin, C) Ibuprofen, D) Penicillin",C) Ibuprofen,medicine
What is the most common type of medication prescribed for high blood pressure?,"a) Beta blockers, b) Calcium channel blockers, c) ACE inhibitors, d) Diuretics",d) Diuretics,medicine
Which of the following parts of the body is responsible for producing insulin?,"A) Pancreas, B) Liver, C) Kidney, D) Heart",A) Pancreas,medicine
What is the most common type of medicine used to relieve pain and inflammation?,"A. Antibiotics, B. Antihistamines, C. Analgesics, D. Antidepressants",C. Analgesics,medicine
What is the most common medication used to treat high blood pressure?,"A) Aspirin, B) Ibuprofen, C) Furosemide, D) Lisinopril",D) Lisinopril,medicine
What is the formula for aspirin?,"A) C10H7NO2, B) C8H9NO2, C) C7H5NO3, D) C13H16N2O2",B) C8H9NO2,medicine
Which of the following medications is used to treat hypertension? ,"A) Metformin , B) Ibuprofen , C) Losartan , D) Zyrtec ",C) Losartan,medicine
Which of the following is a hormone that regulates glucose metabolism in the body?,"A. Insulin, B. Testosterone, C. Estrogen, D. Progesterone ",A. Insulin,medicine
What is the name of the organ that pumps blood throughout the body?,"A. Liver, B. Kidney, C. Heart, D. Brain",Correct answer: C. Heart,medicine
Which of the following is a type of medication often used to lower cholesterol?,"A) Antibiotics, B) Antihistamines, C) Beta blockers, D) Statins",D) Statins,medicine
What is the main function of insulin in the human body?,"A) It helps regulate blood sugar levels , B) It controls blood pressure , C) It aids in digestion , D) It increases energy levels ",A) It helps regulate blood sugar levels.,medicine
What is the function of insulin in the human body?,"a) It helps regulate blood sugar levels, b) It aids in digestion, c) It strengthens bone density",a) It helps regulate blood sugar levels.,medicine
What is the most common medication used to lower blood pressure?,"A) Aspirin, B) Ibuprofen, C) Lisinopril, D) Amoxicillin",C) Lisinopril,medicine
What is the most commonly prescribed medication for high blood pressure?,"a) Ibuprofen, b) Acetaminophen, c) Lisinopril, d) Vitamin C",c) Lisinopril,medicine
What is the most common type of medication prescribed for high blood pressure?,"a) Antihistamines, b) Antibiotics, c) Antidepressants, d) Antihypertensives",d) Antihypertensives,medicine
What type of medication is used for pain relief?,"a) Antibiotics, b) Antihistamines, c) Analgesics, d) Antipsychotics",c) Analgesics,medicine
What is the most commonly prescribed drug for high blood pressure?,"A) Lipitor, B) Aspirin, C) Metoprolol, D) Prozac",C) Metoprolol,medicine
What is the primary purpose of antibiotics?,"A) To treat viruses, B) To treat bacterial infections, C) To treat fungal infections, D) To reduce pain and inflammation",B) To treat bacterial infections.,medicine
What is the main purpose of a vaccine?,"A. To treat a disease, B. To prevent a disease, C. To cure a disease, D. To cause a disease",B. To prevent a disease. Vaccines are designed to stimulate the body's immune system to recognize and fight off a specific viral or bacterial infection before the person is exposed to the disease.,medicine
What is the name of the medicine used to lower blood pressure? ,"A) Aspirin , B) Insulin , C) Lisinopril , D) Penicillin ",C) Lisinopril,medicine
What is the main function of insulin in the body?,"A) Regulate blood pressure , B) Transport oxygen to cells , C) Break down food particles , D) Regulate blood sugar levels ",D,medicine
What is the purpose of a vaccination?,"a) To cure diseases, b) To prevent diseases, c) To treat symptoms of diseases, d) To relieve pain caused by diseases",b) To prevent diseases,medicine
What is the active ingredient in Aspirin that helps relieve pain and reduce inflammation?,"A) Acetaminophen, B) Ibuprofen, C) Naproxen, D) Salicylic acid",D,medicine
"What is the branch of medicine that deals with the study and treatment of the skin, hair, and nails?","A) Endocrinology, B) Dermatology, C) Neurology, D) Gastroenterology",B) Dermatology,medicine
Which of the following is a common over-the-counter medication used for pain relief?,"A. Amoxicillin, B. Ibuprofen, C. Omeprazole, D. Prednisone",B,medicine
What is a common over-the-counter medication for reducing fever and pain?,"A) Aspirin, B) Ibuprofen, C) Acetaminophen, D) Naproxen","C) Acetaminophen (also known as paracetamol) is a commonly used medication for reducing fever and pain. It is sold under various brand names, including Tylenol, Panadol, and Calpol. It is important to follow the recommended dosage and avoid taking too much, as overdose can cause liver damage.",medicine
What is the most common type of heart disease?,"A) Atherosclerosis, B) Rheumatic heart disease, C) Congenital heart disease, D) Hypertensive heart disease",A) Atherosclerosis,medicine
Which of the following is not a treatment for diabetes?,"A) Insulin injections, B) Oral medications, C) Exercise and diet modifications, D) Antibiotics",D,medicine
What is the technical term for the study of drugs and their effects on the body?,"A) Cardiology, B) Gynecology, C) Pharmacology, D) Oncology",C) Pharmacology,medicine
What is the most commonly prescribed medication for high blood pressure?,"a) Metformin, b) Simvastatin, c) Lisinopril, d) Warfarin",c) Lisinopril,medicine
What is the term for a substance that is given to treat a disease or medical condition?,"a) Virus, b) Antibiotic, c) Emphysema, d) Stroke",b) Antibiotic,medicine
What is the medical term for the buildup of fatty deposits in the walls of arteries?,"a. oedema, b. atherosclerosis, c. tuberculosis, d. pneumonia",b. atherosclerosis,medicine
What is the primary function of antibiotics?,"A) To treat viral infections, B) To reduce inflammation, C) To prevent the spread of bacteria, D) To regulate the immune system",Correct answer: C) To prevent the spread of bacteria,medicine
What is the smallest unit of life that can replicate independently?,"A) Molecule, B) Cell, C) Virus, D) Gene",B) Cell,medicine
What is the generic name of the pain reliever drug Tylenol?,"A) Acetaminophen, B) Ibuprofen, C) Aspirin, D) Naproxen",A) Acetaminophen.,medicine
What is the most common type of blood test ordered by doctors?,"A) Complete Blood Count (CBC), B) Electrolyte Panel, C) Lipid Panel, D) Liver Function Test",A) Complete Blood Count (CBC),medicine
1. What is the purpose of a placebo in a clinical trial?,"A) To measure the effectiveness of the drug being tested, B) To test the safety of the drug being tested, C) To provide an alternative treatment for the participants, D) To deceive the participants into thinking they are receiving treatment, Answer: D) To deceive the participants into thinking they are receiving treatment ","Explanation: A placebo is a harmless pill, medicine, or procedure that is often used in medical research as a control group to compare with the group receiving the actual treatment. The purpose of a placebo is not to test the treatment's effectiveness or safety, but rather to measure whether the treatment works better than an inactive substance or procedure. Therefore, the answer is D.",medicine
What is the main purpose of antibiotics?,"A) To treat anxiety, B) To treat bacterial infections, C) To treat viral infections, D) To cure cancer",B) To treat bacterial infections,medicine
What is the recommended treatment for strep throat?,"A. Antibiotics, B. Over-the-counter pain relievers, C. A heating pad, D. Drinking hot tea",A. Antibiotics are the recommended treatment for strep throat.,medicine
What is the main purpose of antibiotics? ,"A) To relieve pain , B) To boost the immune system , C) To control blood pressure , D) To fight bacterial infections ",D,medicine
What is a common over-the-counter medicine used to relieve pain and fever?,"a) Aspirin, b) Antacid, c) Antibiotic, d) Antifungal",a) Aspirin,medicine
"What is the study of medicines, their origins, composition, and effects on the human body called?","a) Pharmacology, b) Orthopedics, c) Endocrinology, d) Pediatrics",A) Pharmacology,medicine
Which of the following is NOT a type of blood cell?,"A) Red blood cell, B) White blood cell, C) Platelet, D) Stem cell",D) Stem cell,medicine
What is the main function of blood platelets in the human body?,"A) to carry oxygen to the organs, B) to fight off infections, C) to clot the blood and prevent bleeding, D) to carry waste products out of the body",C) to clot the blood and prevent bleeding.,medicine
"What does ""OTC"" stand for in medicine?","A) Over the Counter, B) Out of the Clinic, C) On the Case, D) Outpatient Treatment",A) Over the Counter,medicine
What is the name of the device used to measure blood pressure?,"a) Thermometer, b) Stethoscope, c) Sphygmomanometer, d) Otoscope",c) Sphygmomanometer,medicine
What is the most widely used type of pain reliever?,"A) Tylenol (Acetaminophen), B) Aleve (Naproxen Sodium), C) Advil (Ibuprofen), D) Excedrin (Acetaminophen, Aspirin, Caffeine)",C) Advil (Ibuprofen),medicine
What is the most effective treatment for strep throat?,"A) Antibiotics, B) Pain relievers, C) Warm saltwater gargle, D) Herbal remedies","A) Antibiotics. Strep throat is a bacterial infection and antibiotics are the most effective way to treat it. Pain relievers and warm saltwater gargles can help relieve symptoms, but they don't address the root cause of the infection. Herbal remedies may have some benefits, but they are not as effective as antibiotics.",medicine
1. What is the purpose of a nebulizer?,"a) To clean wounds, b) To administer medication through inhalation , c) To measure blood pressure , d) To perform surgery , Answer: b) To administer medication through inhalation , 2. What is a common side effect of taking antibiotics?, a) Decreased appetite , b) Muscle cramps , c) Diarrhea , d) Insomnia , Answer: c) Diarrhea , 3. What is the difference between generic and brand name medication?, a) The price , b) The manufacturing process , c) The active ingredient , d) The packaging , Answer: d) The packaging , 4. What is the function of insulin in the body?, a) To regulate blood sugar levels , b) To increase heart rate , c) To reduce inflammation , d) To improve vision , Answer: a) To regulate blood sugar levels , 5. What is the term for an allergic reaction to pollen?, a) Asthma , b) Sinusitis , c) Rhinitis , d) Bronchitis ",c) Rhinitis,medicine
What type of medicine is used to relieve pain and reduce inflammation?,"A) Antihistamines, B) Antibiotics, C) Analgesics, D) Antidepressants",C) Analgesics,medicine
What is the term for a medication that produces no pharmacological effect but is given to a patient as a placebo?," , A) Adjuvant therapy, B) Palliative care, C) Placebo drug, D) Counterfeit medication",C) Placebo drug,medicine
What is the name of the hormone that regulates blood sugar levels?,"A) Insulin, B) Glucagon, C) Cortisol, D) Thyroxine",A) Insulin,medicine
What is the term used to describe a medication that is given to a patient to treat a disease or condition?,"A. Diagnosis, B. Treatment, C. Prevention, D. Vaccine",B. Treatment,medicine
What is the recommended daily dose of aspirin for heart attack prevention?,"a) 30mg, b) 50mg, c) 75mg, d) 100mg",Correct answer: c) 75mg,medicine
What is the abbreviation for a condition where the body does not produce enough insulin?,"A) IBS, B) CVD, C) COPD, D) DM",D (DM stands for Diabetes Mellitus),medicine
What is the active ingredient in aspirin?,"a) Ibuprofen, b) Acetaminophen, c) Naproxen, d) Salicylic acid",d) Salicylic acid,medicine
What is the active ingredient in aspirin?,"A) Acetaminophen, B) Ibuprofen , C) Naproxen , D) Salicylic acid ",D) Salicylic acid,medicine
What is the name of the disease caused by a deficiency of vitamin C?,"a. Rickets, b. Scurvy, c. Malaria, d. Dengue",b. Scurvy,medicine
What is the main difference between a virus and a bacterium?,"a) Viruses can only replicate inside living cells, while bacteria can replicate independently. , b) Viruses cause only acute infections, while bacteria cause both acute and chronic infections. , c) Viruses are larger and more complex than bacteria. , d) Bacteria are more likely to cause cancer than viruses. ","A) Viruses can only replicate inside living cells, while bacteria can replicate independently.",medicine
What is a common over-the-counter medication used to reduce pain and inflammation?,"A) Tylenol, B) Advil, C) Aleve, D) Benadryl",B) Advil,medicine
Which of the following is NOT a commonly used pain reliever medication?,"A) Acetaminophen, B) Ibuprofen, C) Ketamine, D) Aspirin",C) Ketamine,medicine
In which year was the first successful organ transplant performed?,"a) 1954, b) 1976, c) 1989, d) 2003",a) 1954.,medicine
What is a common over-the-counter pain medication?,"A. Claritin, B. Tylenol, C. Pepcid, D. Advil",D. Advil,medicine
What is the name of the drug commonly used to reduce pain and inflammation?,"A) Acetaminophen, B) Aspirin, C) Ibuprofen, D) Morphine",C) Ibuprofen,medicine
What is the main purpose of antibiotics?,"a. To relieve pain, b. To reduce inflammation, c. To kill or inhibit the growth of bacteria, d. To improve blood circulation",c. To kill or inhibit the growth of bacteria.,medicine
What is the most commonly used pain relief medication?,"A. Ibuprofen, B. Aspirin, C. Acetaminophen, D. Naproxen",C. Acetaminophen,medicine
What is the active ingredient in aspirin?,"A. Acetaminophen, B. Ibuprofen, C. Acetylsalicylic Acid, D. Naproxen",C. Acetylsalicylic Acid,medicine
What is the medical term for the surgical removal of one or both testicles?,"A. Vasectomy, B. Orchidectomy, C. Hysterectomy, D. Mastectomy",B. Orchidectomy,medicine
What is the term for a medical specialist in the branch of medicine that deals with diseases and disorders of the heart?,"A) Cardiologist, B) Pulmonologist, C) Nephrologist, D) Gynecologist",A) Cardiologist,medicine
What is the unit of measurement for medicine dosage?,"a) Ounce, b) Gram, c) Liter, d) Pound",b) Gram,medicine
What is the most common blood type?,"A) A, B) B, C) AB, D) O",D) O,medicine
What is the most commonly used medication for treating fever?,"A) Paracetamol, B) Ibuprofen, C) Aspirin, D) Naproxen",Right answer: A) Paracetamol,medicine
In what part of the body can pancreatic cancer be found?,"a) Lungs, b) Pancreas, c) Liver, d) Stomach",b) Pancreas,medicine
What is the recommended daily amount of water to drink for a healthy adult?,"a) 1 liter, b) 3 liters, c) 5 liters, d) 8 liters","d) 8 liters. This answer is incorrect, as the recommended daily amount of water for a healthy adult is actually 2 to 3 liters, or approximately 8 to 12 cups. Drinking enough water can help maintain proper bodily functions, such as regulating body temperature, removing waste and toxins, and supporting healthy hydration levels in the body.",medicine
What is the medication for pain relief?,"a) Antibiotics, b) Antihistamines, c) Analgesics, d) Antidepressants",c) Analgesics,medicine
What is the most commonly prescribed drug for treating high blood pressure?,"A) Aspirin, B) Insulin, C) Lipitor, D) Lisinopril",D) Lisinopril.,medicine
Which of the following is not a type of chemotherapy drug used to treat cancer?,"a) Alkylating agents, b) Antimetabolites, c) Antibiotics, d) Beta blockers",d,medicine
What is the common name for Acetylsalicylic Acid?,"a) Vitamin C, b) Aspirin, c) Ibuprofen, d) Paracetamol",b) Aspirin,medicine
What is the antibiotic that is commonly used to treat infections caused by gram-negative bacteria?,"A) Amoxicillin, B) Penicillin, C) Cephalexin, D) Gentamicin",D) Gentamicin,medicine
What is the most common medicine used to relieve pain?,"A) Antibiotics, B) Antihistamines, C) Antidepressants, D) Analgesics ",D) Analgesics.,medicine
Which organ in the human body produces insulin to regulate blood sugar levels?,"A. Pancreas, B. Liver, C. Kidneys, D. Lungs",A. Pancreas,medicine
What is the most common medication used to treat high blood pressure?,"A) Tylenol, B) Aspirin, C) Lisinopril, D) Ibuprofen",Correct answer: C) Lisinopril,medicine
Which disease is caused by a deficiency of insulin?,"A) Hypertension, B) Psoriasis, C) Diabetes mellitus, D) Multiple sclerosis",C) Diabetes mellitus,medicine
